 neuer Kontostand pro Jahr
  1      105000.00
  2      110250.00
  3      115762.50
  4      121550.63
  5      127628.16
  6      134009.56
  7      140710.05
  8      147745.55
  9      155132.83
 10      162889.47
 11      171033.94
 12      179585.64
 13      188564.92
 14      197993.17
 15      207892.83
 16      218287.47
 17      229201.84
 18      240661.94
 19      252695.03
 20      265329.78
 21      278596.28
 22      292526.09
 23      307152.41
 24      322510.03
 25      338635.53
 26      355567.31
 27      373345.69
 28      392012.97
 29      411613.63
 30      432194.31
 31      453804.03
 32      476494.22
 33      500318.94
 34      525334.88
 35      551601.63
 36      579181.69
 37      608140.75
 38      638547.81
 39      670475.19
 40      703998.94
 41      739198.88
 42      776158.81
 43      814966.75
 44      855715.06
 45      898500.81
 46      943425.88
 47      990597.19
 48     1040127.06
 49     1092133.38
 50     1146740.00
 51     1204077.00
 52     1264280.88
 53     1327494.88
 54     1393869.63
 55     1463563.13
 56     1536741.25
 57     1613578.25
 58     1694257.13
 59     1778970.00
 60     1867918.50
 61     1961314.38
 62     2059380.13
 63     2162349.25
 64     2270466.75
 65     2383990.00
 66     2503189.50
 67     2628349.00
 68     2759766.50
 69     2897754.75
 70     3042642.50
 71     3194774.50
 72     3354513.25
 73     3522239.00
 74     3698351.00
 75     3883268.50
 76     4077432.00
 77     4281303.50
 78     4495368.50
 79     4720137.00
 80     4956144.00
 81     5203951.00
 82     5464148.50
 83     5737356.00
 84     6024224.00
 85     6325435.00
 86     6641707.00
 87     6973792.50
 88     7322482.00
 89     7688606.00
 90     8073036.50
 91     8476688.00
 92     8900522.00
 93     9345548.00
 94     9812825.00
 95    10303466.00
 96    10818639.00
 97    11359571.00
 98    11927550.00
 99    12523928.00
